Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Arndt et al  (2013),71,yxj1,1-PA,1,,,,,,,,,,,,,,
Arndt et al  (2013),71,,2-digitPM,0.127,1,,,,,,,,,,,,,
Arndt et al  (2013),71,,3-nondigitPM,,,1,,,,,,,,,,,,
Arndt et al  (2013),71,,4-digitRAN,,,,1,,,,,,,,,,,
Arndt et al  (2013),71,,5-non-digitRAN,0.306,0.177,,,1,,,,,,,,,,
Arndt et al  (2013),71,,6-mathFluency,,,,,,1,,,,,,,,,
Arndt et al  (2013),71,,7-mathAccuracy,0.0537,0.307,,,0.1456,,1,,,,,,,,
Arndt et al  (2013),71,,8-basicNumberKnowledge,0.288,0.19725,,,0.292,,,1,,,,,,,
Arndt et al  (2013),71,,9-calculation,,,,,0.1257,,0.2653,,1,,,,,,
Arndt et al  (2013),71,,10-WordProblem,,,,,,,,,,1,,,,,
Arndt et al  (2013),71,,11-VerbalIQ,,,,,,,,,,,1,,,,
Arndt et al  (2013),71,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Arndt et al  (2013),71,,13-Vocabulary ,,,,,,,,,,,,,1,,
Arndt et al  (2013),71,,14-EF,0.323,0.441,,,0.334,,0.3179,,,,,,,1,
Arndt et al  (2013),71,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),35,yxj2_1,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),35,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),35,,3-nondigitPM,,,1,,,,,,,,,,,,
Abrahamson (1994),35,,4-digitRAN,,0.34,,1,,,,,,,,,,,
Abrahamson (1994),35,,5-non-digitRAN,,0.42,,0.88,1,,,,,,,,,,
Abrahamson (1994),35,,6-mathFluency,,0.26,,,,1,,,,,,,,,
Abrahamson (1994),35,,7-mathAccuracy,,0.3,,0.62,0.665,0.55,1,,,,,,,,
Abrahamson (1994),35,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Abrahamson (1994),35,,9-calculation,,0.3,,0.62,0.665,,0.55,,1,,,,,,
Abrahamson (1994),35,,10-WordProblem,,0.44,,0.42,0.55,,0.62,,0.62,1,,,,,
Abrahamson (1994),35,,11-VerbalIQ,,,,,,,,,,,1,,,,
Abrahamson (1994),35,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Abrahamson (1994),35,,13-Vocabulary ,,,,,,,,,,,,,1,,
Abrahamson (1994),35,,14-EF,,,,,,,,,,,,,,1,
Abrahamson (1994),35,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),19,yxj2_2,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),19,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),19,,3-nondigitPM,,,1,,,,,,,,,,,,
Abrahamson (1994),19,,4-digitRAN,,0.33,,1,,,,,,,,,,,
Abrahamson (1994),19,,5-non-digitRAN,,0.28,,0.82,1,,,,,,,,,,
Abrahamson (1994),19,,6-mathFluency,,0.48,,0.6,0.6,1,,,,,,,,,
Abrahamson (1994),19,,7-mathAccuracy,,0.215,,0.44,0.295,0.21,1,,,,,,,,
Abrahamson (1994),19,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Abrahamson (1994),19,,9-calculation,,0.215,,0.44,0.295,0.21,0.21,,1,,,,,,
Abrahamson (1994),19,,10-WordProblem,,0.29,,0.29,0.17,0.4825,0.4825,,,1,,,,,
Abrahamson (1994),19,,11-VerbalIQ,,,,,,,,,,,1,,,,
Abrahamson (1994),19,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Abrahamson (1994),19,,13-Vocabulary ,,,,,,,,,,,,,1,,
Abrahamson (1994),19,,14-EF,,,,,,,,,,,,,,1,
Abrahamson (1994),19,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),16,yxj2_3,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),16,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),16,,3-nondigitPM,,,1,,,,,,,,,,,,
