id,study,type,n,r,PP,math1,math2,age,grade,sample,design
yxj1,Arndt et al  (2013),1,71,0.122,3,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.214,3,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.146,3,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.299,3,1,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.037,3,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.123,2,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.066,2,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.188,2,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.258,2,1,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.209,2,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.066,1,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.024,1,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.071,1,3,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.262,1,1,1,6.375,2,1,1
yxj1,Arndt et al  (2013),1,71,0.039,1,3,1,6.375,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.66,2,2,1,8.81,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.53,2,2,2,8.81,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.42,2,3,1,8.81,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.41,2,3,1,8.81,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.54,2,3,1,8.81,2,1,1
yxj2_1,Abrahamson (1994),0,35,0.68,2,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.65,2,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.61,2,2,2,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.55,2,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.59,2,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.52,2,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.36,3,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.24,3,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.26,3,2,2,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.44,3,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.38,3,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.46,3,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.64,1,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.65,1,2,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.36,1,2,2,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.72,1,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.63,1,3,1,8.81,2,4,1
yxj2_1,Abrahamson (1994),0,35,0.55,1,3,1,8.81,2,4,1
yxj2_2,Abrahamson (1994),0,19,0.46,2,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.42,2,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.6,2,2,2,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.29,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.36,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.49,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.33,2,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.25,2,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.6,2,2,2,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.17,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.24,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.33,2,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.2,3,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.23,3,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.48,3,2,2,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.29,3,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.25,3,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.43,3,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.19,1,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.23,1,2,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.01,1,2,2,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.36,1,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.22,1,3,1,8.77,2,1,1
yxj2_2,Abrahamson (1994),0,19,0.45,1,3,1,8.77,2,1,1
yxj2_3,Abrahamson (1994),0,16,0.36,2,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.48,2,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.33,2,2,2,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.15,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.1,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.23,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.57,2,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.48,2,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.49,2,2,2,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.15,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.29,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.21,2,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.31,3,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.03,3,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.14,3,2,2,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.36,3,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.26,3,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.28,3,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.53,1,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.49,1,2,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.21,1,2,2,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.4,1,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.3,1,3,1,8.85,2,2,1
yxj2_3,Abrahamson (1994),0,16,0.01,1,3,1,8.85,2,2,1
yxj3,Bull et al (1997),1,68,0.48,3,2,1,7.42, ,1,1
yxj4_1,Anvari et al (2002),1,50,0.53,1,3,1,4.58, ,1,1
yxj4_1,Anvari et al (2002),1,50,0.43,3,3,1,4.58, ,1,1
yxj4_2,Anvari et al (2002),1,50,0.22,1,3,1,5.42, ,1,1
yxj4_2,Anvari et al (2002),1,50,0.22,3,3,1,5.42, ,1,1
yxj5,Alloway et al (2005),1,194,0.49,1,1,1,5.09, ,1,1
yxj6_1,Barrouillet et al (2005),1,47,0.37,3,2,1,8.92,2,1,1
yxj6_1,Barrouillet et al (2005),1,47,0.41,3,2,1,8.92,2,1,1
yxj6_1,Barrouillet et al (2005),1,47,0.47,3,2,1,8.92,2,1,1
yxj6_2,Barrouillet et al (2005),1,44,0.35,3,2,1,9.92,3,1,1
yxj6_2,Barrouillet et al (2005),1,44,0.46,3,2,1,9.92,3,1,1
yxj6_2,Barrouillet et al (2005),1,44,0.47,3,2,1,9.92,3,1,1
yxj7,Durand et al (2005),1,162,0.16,1,2,2,8.93, ,1,1
yxj7,Durand et al (2005),1,162,0.21,1,2,2,8.93, ,1,1
yxj7,Durand et al (2005),1,162,0.36,1,1,1,8.93, ,1,1
yxj7,Durand et al (2005),1,162,0.1,3,2,2,8.93, ,1,1
yxj7,Durand et al (2005),1,162,0.15,3,2,2,8.93, ,1,1
yxj7,Durand et al (2005),1,162,0.08,3,1,1,8.93, ,1,1
yxj8,Fuchs et al (2006),1,312,0.26,3,2,2, ,2,4,1
yxj8,Fuchs et al (2006),1,312,0.28,3,2,1, ,2,4,1
yxj8,Fuchs et al (2006),1,312,0.39,3,3,1, ,2,4,1
yxj9_1,Andersson et al (2007),1,31,0.06,3,2,1,10.33, ,2,1
yxj9_1,Andersson et al (2007),1,31,0.09,3,2,1,10.33, ,2,1
yxj9_2,Andersson et al (2007),1,37,0.28,3,2,1,10.42, ,2,1
yxj9_2,Andersson et al (2007),1,37,0.17,3,2,1,10.42, ,2,1
yxj9_3,Andersson et al (2007),1,23,0.38,3,2,1,9.42,2,1,1
yxj9_3,Andersson et al (2007),1,23,0.1,3,2,1,9.42,2,1,1
yxj9_4,Andersson et al (2007),1,47,0.07,3,2,1,10.25, ,1,1
yxj9_4,Andersson et al (2007),1,47,0.07,3,2,1,10.25, ,1,1
yxj10,Andersson (2007),1,69,0.34,3,3,1,9.96, ,1,1
yxj10,Andersson (2007),1,69,0.32,3,2,1,9.96, ,1,1
yxj11,Berg et al (2008),1,90,0.44,2,2,1,10.16,3,1,1
yxj11,Berg et al (2008),1,90,0.55,3,2,1,10.16,3,1,1
yxj11,Berg et al (2008),1,90,0.48,3,2,1,10.16,3,1,1
yxj12,Fuchs et al (2008),1,924,0.22,3,2,2, ,2,4,1
yxj12,Fuchs et al (2008),1,924,0.24,3,2,2, ,2,4,1
yxj12,Fuchs et al (2008),1,924,0.24,3,2,2, ,2,4,1
yxj12,Fuchs et al (2008),1,924,0.38,3,3,1, ,2,4,1
yxj12,Fuchs et al (2008),1,924,0.34,3,3,1, ,2,4,1
yxj12,Fuchs et al (2008),1,924,0.32,3,3,1, ,2,4,1
yxj13,Fuchs et al (2010),1,312,0.46,3,2,1, ,2,1,1
yxj13,Fuchs et al (2010),1,312,0.61,3,3,1, ,2,1,1
yxj13,Fuchs et al (2010),1,312,0.44,3,2,1, ,2,1,1
yxj13,Fuchs et al (2010),1,312,0.47,3,3,1, ,2,1,1
yxj14,Hannula et al (2010),1,139,0.4,1,1,1,6.5,1,1,1
yxj14,Hannula et al (2010),1,139,0.39,2,1,1,6.5,1,1,1
