"","name","n_study","k","r","lb","ub","s2"
"1","Overall",87,819,0.332,0.303,0.36,0.021
"2","Math1: Basic number knowledge",43,407,0.296,0.262,0.328,0.013
"3","Math1:Calculation",53,258,0.35,0.314,0.385,0.02
"4","Math1:Word problem",42,148,0.351,0.299,0.401,0.034
"5","Math2: Accuracy",77,578,0.334,0.302,0.366,0.023
"6","Math2: Fluency",41,241,0.327,0.287,0.366,0.018
"7","PP: PA",42,263,0.376,0.334,0.417,0.023
"8","PP: RAN",38,272,0.349,0.302,0.393,0.025
"9","PP (New): DRAN",25,55,0.406,0.337,0.47,0.037
"10","PP (New): NDRAN",23,51,0.309,0.257,0.36,0.015
"11","PP: PM",64,284,0.277,0.243,0.311,0.02
"12","PP (New): DPM",37,74,0.271,0.226,0.315,0.016
"13","PP (New): NDPM",30,65,0.281,0.228,0.331,0.02
"14","Sample: TD",77,637,0.33,0.299,0.36,0.021
"15","Sample: Atypical",5,55,0.3,0.241,0.356,0
"16","Sample: Other",16,127,0.366,0.295,0.434,0.024
"17","Grade: K1-K3",22,197,0.361,0.315,0.405,0.013
"18","Grade: G1-G3",33,292,0.322,0.27,0.372,0.026
"19","Grade: G4-G6",8,81,0.285,0.171,0.393,0.027
"20","Design: Concurrent",70,615,0.319,0.287,0.35,0.02
"21","Design: Longitudinal",24,200,0.359,0.31,0.405,0.017
