"","name","beta","se","lb","ub","z","p","adj_p_fdr"
"1","Math1: Basic vs. Calculation",0.04,0.01,0.02,0.06,3.4,0.000675057563171086,0.00286899464347712
"2","Math1: Calculation vs. Word",0.01,0.01,-0.01,0.03,1.11,0.267550949054736,0.349874317994655
"3","Math1: Basic vs. Word",0.06,0.01,0.04,0.08,5.63,1.77854788367828e-08,1.00784380075102e-07
"4","Math2: Accuracy vs. Fluency",-0.02,0.01,-0.04,-0.01,-2.9,0.00375316641151893,0.00911483271368884
"5","PP: PA vs. RAN",-0.01,0.01,-0.03,0,-1.33,0.183473808103926,0.259921228147228
"6","PP: RAN vs. PM",-0.11,0.01,-0.13,-0.09,-9.96,2.38380103294281e-23,4.05246175600277e-22
"7","PP: PA vs. PM",-0.09,0.01,-0.11,-0.07,-9.22,2.95634340196826e-20,2.51289189167302e-19
"8","RAN: Digit vs. Non-digit",-0.02,0.02,-0.06,0.02,-1.03,0.304779258430577,0.370089099522844
"9","PM: Digit vs. Non-digit",0,0.02,-0.04,0.03,-0.15,0.878326553463153,0.878326553463153
"10","Sample: TD vs. Atypical",0.03,0.04,-0.05,0.1,0.68,0.497258128933175,0.563559212790932
"11","Sample: TD vs. Other",0.01,0.03,-0.05,0.06,0.31,0.758730390315312,0.806151039710019
"12","Sample: Atypical vs. Other",0.16,0.05,0.06,0.26,3.06,0.00224597480988103,0.00636359529466292
"13","Grade: K1-K3 vs. G1-G3",-0.06,0.03,-0.13,0,-1.85,0.0649624236559354,0.11043612021509
"14","Grade: G1-G3 vs. G4-G6",-0.06,0.03,-0.12,0,-1.88,0.059869023051805,0.11043612021509
"15","Grade: K1-K3 vs. G4-G6",-0.08,0.06,-0.2,0.03,-1.43,0.151875767046224,0.234717094525983
"16","Design: Concurrent vs. Longitudinal",0.04,0.02,0,0.07,2.1,0.0353814197492366,0.0751855169671277
"17","Age",-0.02,0.01,-0.03,-0.01,-3.12,0.0017943841573209,0.00610090613489104
