"","name","n_study","k","beta","se","lb","ub","z","p","adj_p_fdr"
"1","Math1: Basic vs. Calculation",39,231,0.02,0.02,-0.02,0.05,0.82,0.41425433308365,0.649188884587025
"2","Math1: Calculation vs. Word",30,88,0.02,0.03,-0.03,0.08,0.78,0.432792589724683,0.649188884587025
"3","Math1: Basic vs. Word",33,203,0.19,0.02,0.15,0.22,10.92,9.02297485913848e-28,1.08275698309662e-26
"4","Math2: Accuracy vs. Fluency",42,263,-0.11,0.01,-0.14,-0.09,-8.86,8.34680840081843e-19,5.00808504049106e-18
"5","Sample: TD vs. Atypical",36,229,0.05,0.14,-0.23,0.33,0.37,0.713089297353083,0.855707156823699
"6","Sample: TD vs. Other",42,257,0.08,0.05,-0.01,0.17,1.66,0.0975350658501034,0.195070131700207
"7","Sample: Atypical vs. Other",9,40,0.3,0.13,0.04,0.55,2.28,0.0228474645345014,0.0913898581380057
"8","Grade: K1-K3 vs. G1-G3",27,183,-0.13,0.06,-0.26,-0.01,-2.13,0.0331309768659494,0.0993929305978481
"9","Grade: G1-G3 vs. G4-G6",13,91,-0.01,0.06,-0.13,0.11,-0.22,0.82638614954429,0.861120499137876
"10","Grade: K1-K3 vs. G4-G6",15,100,0.05,0.11,-0.16,0.26,0.46,0.647336696938573,0.855707156823699
"11","Design: Concurrent vs. Longitudinal",42,263,-0.01,0.04,-0.09,0.08,-0.17,0.861120499137876,0.861120499137876
"12","Age",42,182,-0.02,0.01,-0.04,0,-1.66,0.0969951687476307,0.195070131700207
